Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,035133","0,0010982","0,059578",0,0,0,"1,6222","0,0057091","0,00016017","-1,9562E-07","0,0078069","7,9795E-07","0,01293",0,0,0,0,0,0,package://Ensamblee/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblee/meshes/base_link.STL,,Base alta delantera-1;Base ancha arriba-1;Base2-pinpon-1;Base2-Planchapinpon-1;Base2Ancha-pinpon-2;Base2Ancha-pinpon-1;Base alta lateral-1;Base ancha-1;Base alta lateral-2;Base alta delantera con hueco-1;BaseLateralPlaneta-1;BaseAltaPlanetario-1;BaseBasePlaneta-2;PlanetarioBase-1/Base Rotatorio-1;Base2-pinpon-2;Base pinpones-1;Delantera pinpon-2;Lateral pinpon-2;Lateral pinpon-1;Delantera pinpon-1;BaseBasePlaneta-1,Sistema de coordenadas1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_giratoria,"-0,00012545","-0,0015041","0,14037",0,0,0,"0,27811","0,00049658","-4,0519E-06","-2,3048E-07","0,00045443","-3,5467E-06","0,00066548",0,0,0,0,0,0,package://Ensamblee/meshes/base_giratoria.STL,1,1,1,1,0,0,0,0,0,0,package://Ensamblee/meshes/base_giratoria.STL,,PlanetarioBase-1/Tapa-planeta-1;Base-1/BasePrincipal-1,Sistema de coordenadas1,Eje1,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,100,"3,14","-3,14","3,14",,,,,,,,
brazo_inferior,"0,10277","-0,010539","0,0045472",0,0,0,"0,41319","0,00031344","0,00016033","4,1036E-05","0,0018606","-4,2071E-06","0,0017287",0,0,0,0,0,0,package://Ensamblee/meshes/brazo_inferior.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblee/meshes/brazo_inferior.STL,,Eslabon1-2,Sistema de coordenadas2,Eje2,joint_2,revolute,"0,00032733","0,0034847","0,1945","1,6645","-1,5708",0,base_giratoria,0,0,-1,100,"3,14","-1,57","1,57",,,,,,,,
brazo_superior,"0,049945","-0,003032","0,0023765",0,0,0,"0,13139","2,7543E-05","6,4343E-06","1,1157E-05","0,00016188","-6,8148E-07","0,00016442",0,0,0,0,0,0,package://Ensamblee/meshes/brazo_superior.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblee/meshes/brazo_superior.STL,,eslabonbrazo-1;Pinza-1/servo.MG90S-1;Pinza-1/soporte-1;Pinza-1/tornillo-1,Sistema de coordenadas3,Eje3,joint_3,revolute,"0,17906","-0,018361","0,00076231",0,0,"-1,5708",brazo_inferior,0,0,-1,100,"3,14","-1,57","1,57",,,,,,,,
dedo_1,"0,044604","-0,011038","0,00099967",0,0,0,"0,0045852","1,1247E-07","-1,5654E-07","9,1993E-14","1,0476E-06","-7,4756E-13","1,1404E-06",0,0,0,0,0,0,package://Ensamblee/meshes/dedo_1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblee/meshes/dedo_1.STL,,Pinza-1/eslabonlargo-10;Pinza-1/eslabonlargo-13;Pinza-1/eslabonlargo-12;Pinza-1/eslabonlargo-11;Pinza-1/eslabonchiqui-6;Pinza-1/gARRA-2,Sistema de coordenadas4,Eje4,joint_4,revolute,"0,12475","-0,0039498","-0,0063922","2,2502","0,079705","0,017371",brazo_superior,0,0,-1,10,1,0,"0,5",,,,,,,,
dedo_2,"0,04204","-0,018546","-0,001",0,0,0,"0,0045852","8,7082E-08","1,1185E-08","-3,7978E-14","1,0729E-06","-7,5224E-13","1,1404E-06",0,0,0,0,0,0,package://Ensamblee/meshes/dedo_2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblee/meshes/dedo_2.STL,,Pinza-1/eslabonchiqui-4;Pinza-1/eslabonlargo-3;Pinza-1/eslabonlargo-4;Pinza-1/eslabonlargo-2;Pinza-1/eslabonlargo-1;Pinza-1/gARRA-3,Sistema de coordenadas5,Eje5,joint_5,revolute,"0,12464","-0,0062567","0,008678","-1,942","0,065782","-0,072428",brazo_superior,0,0,-1,10,1,0,"0,5",,,,,,,,
dedo_3,"0,042725","-0,01691","0,00099389",0,0,0,"0,0045852","8,7688E-08","-2,6872E-08","1,2559E-10","1,0723E-06","2,1926E-12","1,1404E-06",0,0,0,0,0,0,package://Ensamblee/meshes/dedo_3.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblee/meshes/dedo_3.STL,,Pinza-1/eslabonchiqui-5;Pinza-1/eslabonlargo-8;Pinza-1/eslabonlargo-7;Pinza-1/eslabonlargo-9;Pinza-1/eslabonlargo-5;Pinza-1/gARRA-1,Sistema de coordenadas6,Eje6,joint_6,revolute,"0,12401","-0,019698","-0,0021097","0,15313","-0,0049958","-0,015269",brazo_superior,0,0,-1,10,1,0,"0,5",,,,,,,,
