Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,"0,010178","0,038491","-0,014831",0,0,0,"2,0149","0,0085235","-0,00017067","5,7052E-06","0,0060164","7,0109E-07","0,013833",0,0,0,0,0,0,package://ensamble_general_urdf/meshes/base.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://ensamble_general_urdf/meshes/base.STL,,Base alta delantera-1;Soporte pinpon-1;Base ancha arriba-1;Base2-pinpon-1;Base2Ancha-pinpon-2;Base2Ancha-pinpon-1;PlanetarioBase-1/Base Rotatorio-1;Tubito Pimpones1 - copia-1;Tubito Pimpones-1;Base ancha-1;Estiba lateral general-1/Estiba ladito-1;Estiba lateral general-1/Estiba superior-1;Estiba central general-2/Estiba ladito-1;Estiba central general-2/Estiba baja-1;Estiba lateral general-2/Estiba ladito-1;Estiba lateral general-2/Estiba superior-1;Estiba central general-2/Estiba lateral-1;Estiba central general-2/Estiba ladito-2;Estiba central general-1/Estiba ladito-1;Estiba central general-1/Estiba baja-1;Estiba lateral general-2/Estiba lateral-2;Estiba lateral general-2/Estiba ladito-6;Estiba lateral general-2/Estiba ladito-5;Estiba lateral general-2/Estiba ladito-4;Estiba lateral general-2/Estiba lateral-5;Estiba lateral general-2/Estiba lateral-4;Estiba lateral general-2/Estiba ladito-2;Estiba lateral general-2/Estiba ladito-3;Estiba lateral general-2/Estiba lateral-6;Estiba lateral general-2/Estiba lateral-3;Estiba lateral general-2/Estiba lateral-1;Estiba central general-1/Estiba ladito-2;Estiba central general-1/Estiba lateral-2;Estiba central general-1/Estiba lateral-1;Estiba lateral general-1/Estiba ladito-2;Estiba lateral general-1/Estiba lateral-6;Estiba lateral general-1/Estiba ladito-4;Estiba lateral general-1/Estiba ladito-3;Estiba lateral general-1/Estiba lateral-3;Estiba lateral general-1/Estiba ladito-5;Estiba lateral general-1/Estiba ladito-6;Estiba lateral general-1/Estiba lateral-1;Estiba central general-2/Estiba lateral-2;Estiba lateral general-1/Estiba lateral-2;Estiba lateral general-1/Estiba lateral-4;Estiba lateral general-1/Estiba lateral-5;Base alta delantera con hueco-1;Base alta lateral-2;Base alta lateral-1;Delantera pinpon-2;Lateral pinpon-2;Lateral pinpon-1;Base pinpones-1;Delantera pinpon-1;BaseLateralPlaneta-1;BaseAltaPlanetario-1;BaseBasePlaneta-2;BaseLateralPlaneta-2,Coord_Global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_giratoria,"0,00033752","-0,001741","0,072369",0,0,0,"0,27811","0,00049503","8,8993E-06","8,5811E-07","0,00045597","-3,449E-06","0,00066548",0,0,0,0,0,0,package://ensamble_general_urdf/meshes/base_giratoria.STL,1,1,1,1,0,0,0,0,0,0,package://ensamble_general_urdf/meshes/base_giratoria.STL,,PlanetarioBase-1/Tapa-planeta-1;Base-1/BasePrincipal-1,Coord_Global,Eje1,joint_1,revolute,0,0,0,0,0,0,base,0,0,1,100,2,0,"3,142",,,,,,,,
eslabon_inferior,"1,5352E-05","-0,10329","-0,0044136",0,0,0,"0,41558","0,0018786","2,3501E-07","-6,101E-09","0,00029838","4,1124E-05","0,001729",0,0,0,0,0,0,package://ensamble_general_urdf/meshes/eslabon_inferior.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://ensamble_general_urdf/meshes/eslabon_inferior.STL,,Eslabon1-2,Sistema de coordenadas1,Eje2,joint_2,revolute,"-0,000747","0,0031495","0,1265","-1,5708",0,"0,21508",base_giratoria,0,0,1,100,2,"-1,57","1,57",,,,,,,,
eslabon_superior,"0,045973","0,0091436","0,0037482",0,0,0,"0,10171","2,2964E-05","-1,8224E-05","3,239E-06","0,00013717","1,3359E-06","0,00014073",0,0,0,0,0,0,package://ensamble_general_urdf/meshes/eslabon_superior.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://ensamble_general_urdf/meshes/eslabon_superior.STL,,eslabonbrazo-1,Sistema de coordenadas2,Eje3,joint_3,revolute,"2,6757E-05","-0,18","-0,0027601",0,"0,075039","-0,10127",eslabon_inferior,"-0,074969",0,"0,99719",100,2,0,"1,57",,,,,,,,
soporte_pinza,"0,013114","0,0050536","0,0047901",0,0,0,"0,012112","9,8016E-07","-1,2907E-07","8,2249E-08","1,2854E-06","5,9575E-08","8,0378E-07",0,0,0,0,0,0,package://ensamble_general_urdf/meshes/soporte_pinza.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://ensamble_general_urdf/meshes/soporte_pinza.STL,,PINZAAAAAAAAA-1/servo.MG90S-1;PINZAAAAAAAAA-1/Base general-1;Soporte motor-1;PINZAAAAAAAAA-1/Seguro3-1;PINZAAAAAAAAA-1/eslabonchiqui-1,Sistema de coordenadas3,Eje4,joint_4,fixed,"0,093465","0,04227","0,0047203","-1,4926","-0,33132","-1,4222",eslabon_superior,0,0,0,100,2,0,0,,,,,,,,
dedo_1,"0,022829","-0,0090327","0,0026146",0,0,0,"0,0031986","6,055E-08","-4,8228E-08","2,7123E-10","2,6162E-07","-1,4137E-10","2,8917E-07",0,0,0,0,0,0,package://ensamble_general_urdf/meshes/dedo_1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://ensamble_general_urdf/meshes/dedo_1.STL,,PINZAAAAAAAAA-1/Porsi2-1;PINZAAAAAAAAA-1/Soporte pinza 1-3;PINZAAAAAAAAA-1/levelito-2;PINZAAAAAAAAA-1/Seguro1-1;PINZAAAAAAAAA-1/Seguro1-2;PINZAAAAAAAAA-1/Pinza1-2;PINZAAAAAAAAA-1/Tapa soporte-1,Sistema de coordenadas4,Eje5,joint_5,revolute,"-0,0065469","0,0092105","0,0059454","-1,5708","-1,4417","-1,2515",soporte_pinza,0,0,-1,10,1,0,"0,8",,,,,,,,
dedo_2,"0,024055","0,012408","-0,0014123",0,0,0,"0,0031653","6,32E-08","4,7422E-08","-2,749E-10","2,6133E-07","-1,2481E-10","2,916E-07",0,0,0,0,0,0,package://ensamble_general_urdf/meshes/dedo_2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://ensamble_general_urdf/meshes/dedo_2.STL,,PINZAAAAAAAAA-1/Soporte pinza 1-2;PINZAAAAAAAAA-1/Seguro1-4;PINZAAAAAAAAA-1/Seguro1-3;PINZAAAAAAAAA-1/Porsi-1;PINZAAAAAAAAA-1/levelito-1;PINZAAAAAAAAA-1/Pinza1-1,Sistema de coordenadas5,Eje6,joint_6,revolute,"-0,001258","-0,0004159","0,0058","-1,5708","-1,305","-1,2515",soporte_pinza,0,0,-1,10,1,"-0,8",0,,,,,,,,
